,data,CO max,H2S max,NO max,NO2 max,NOx max,PM1 max,PM10 max,PM2.5 max,SO2 max,CO,H2S,NO,NO2,NOx,PM1,PM10,PM2.5,SO2
2148,2015-12-10,,4.0,69.0,69.0,165.0,42.0,54.0,48.0,12.0,,2.316666666666667,26.416666666666668,41.166666666666664,81.29166666666667,21.75,29.25,24.416666666666668,3.2916666666666665
2149,2015-12-11,,5.4,49.0,62.0,122.0,40.0,51.0,43.0,3.0,,2.225,17.166666666666668,34.458333333333336,60.625,23.333333333333332,28.333333333333332,25.083333333333332,1.5833333333333333
2150,2015-12-12,,8.9,45.0,62.0,130.0,50.0,54.0,53.0,2.0,,2.3249999999999997,16.375,32.041666666666664,56.375,22.095238095238095,24.714285714285715,22.952380952380953,1.2916666666666667
2151,2015-12-13,,4.1,28.0,47.0,77.0,27.0,37.0,29.0,9.0,,2.0583333333333327,10.541666666666666,28.416666666666668,44.291666666666664,16.36842105263158,18.0,16.31578947368421,2.375
2152,2015-12-14,,4.8,182.0,100.0,377.0,26.0,38.0,29.0,7.0,,2.4958333333333336,48.708333333333336,51.291666666666664,125.54166666666667,13.777777777777779,15.444444444444445,14.333333333333334,3.0
2153,2015-12-15,,2.9,105.0,90.0,232.0,,,,9.0,,1.7166666666666666,31.583333333333332,47.333333333333336,95.08333333333333,,,,3.2916666666666665
2154,2015-12-16,,3.8,146.0,78.0,299.0,36.0,74.0,48.0,19.0,,2.0166666666666666,43.791666666666664,48.416666666666664,115.20833333333333,23.307692307692307,58.92307692307692,35.15384615384615,5.291666666666667
2155,2015-12-17,,4.4,135.0,84.0,290.0,75.0,75.0,88.0,19.0,,1.995833333333333,33.875,48.875,100.25,24.375,48.041666666666664,33.583333333333336,4.416666666666667
2156,2015-12-18,,4.0,126.0,74.0,267.0,55.0,74.0,63.0,11.0,,2.6041666666666665,38.041666666666664,52.25,109.83333333333333,30.434782608695652,54.375,40.91304347826087,6.083333333333333
2157,2015-12-19,,2.9,83.0,79.0,167.0,56.0,74.0,71.0,15.0,,1.7125000000000001,26.416666666666668,47.0,87.125,36.54545454545455,53.63636363636363,45.27272727272727,6.125
